Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Packet Length Mean,Protocol,Source Port,Destination Port,Label
41,1,0,76648.30893227842,440.89667372792854,6,47201,443,PortScan
6550734,25,63,88267.19353006454,1058.108784793962,0,12416,443,BENIGN
4304672,51,49,81984.43517257337,816.0171734261688,6,27915,22,BENIGN
2234589,7,84,46603.41195000369,1236.9997498740008,6,27032,3389,BENIGN
9958714,6,40,53395.64085805625,1092.2968782241487,17,60502,8080,Bot
9524782,24,71,24227.619398468836,209.58890570151115,17,39512,3389,BENIGN
7204312,19,21,17285.473941878616,202.61566905354374,0,13278,80,BENIGN
9628619,83,53,82300.11748913447,1345.5599849910363,0,4951,21,BENIGN
4472571,9,4,79834.41605448302,1232.8766343825996,0,29065,6667,Bot
4523769,36,16,77735.9828436892,712.5176382808091,17,3521,443,BENIGN
7404952,40,77,46335.93063976348,212.93891946547942,17,4000,21,BENIGN
4981605,93,40,86450.77608445591,1349.8929102149918,17,1764,8080,BENIGN
1766991,24,91,92623.20693508147,361.43682491637657,6,17878,3389,BENIGN
4521473,48,94,32834.43446534448,72.59146645188898,17,51841,443,BENIGN
6019977,63,80,22469.449178035582,1387.8744969813552,17,12931,6667,Bot
3344869,69,34,46426.30307759832,1217.2247186700565,0,54166,443,BENIGN
9180451,266,39,17932.63566745925,94.5426954526513,17,30460,443,DDoS
103455,54,21,88400.28851398968,70.36492888101192,17,25709,8080,Bot
1262852,42,47,33799.05000777694,802.0781440212095,6,45864,80,BENIGN
9784733,45,52,57617.17865405768,987.3815095239813,17,54565,80,Infiltration
5664889,262,92,59471.9495907125,61.11908625929371,0,19670,3389,DDoS
9696079,14,9,51498.78803458964,717.189349501815,6,47415,8080,BENIGN
9305748,29,17,15652.570942309829,1430.9569641207042,17,47307,443,BENIGN
5743166,6,98,99100.06400933713,382.2759702402983,17,63915,3389,BENIGN
97,1,0,17260.32292411297,123.20767769549708,17,1983,443,PortScan
4721439,772,48,75150.73605709098,45.20939404509059,6,2583,3389,DDoS
9889650,53,70,79136.2874055159,999.4712080539347,6,26716,6667,Bot
3275809,18,29,14516.370836127267,1110.9926623288827,17,50856,3389,BENIGN
84754,87,18,93316.35115498803,1112.9754077299172,0,26651,6667,Bot
5147681,38,54,48775.876262772836,183.7972648816462,17,16701,3389,BENIGN
1954454,59,59,62888.29585676866,1329.9323928498395,6,63886,22,BENIGN
8242780,496,86,64218.60560347962,83.5756963444037,6,53949,21,DDoS
2428488,68,71,50495.51255923007,330.66843934157527,6,46345,3389,Infiltration
8916886,44,80,14202.20441211537,929.397065867649,0,6015,3389,BENIGN
2663146,47,20,75175.33578912991,333.53663016207355,17,49121,80,BENIGN
5499820,35,25,58178.58351234922,771.8969694254355,17,29980,21,BENIGN
6641013,87,27,11868.061525738349,622.4039508871532,6,52126,80,Infiltration
3416764,91,38,70032.19686336086,363.4107086902058,17,5718,8080,Bot
3385759,60,32,70276.32608064906,452.2482561024834,0,57233,6667,Bot
3385457,90,39,54848.64460959151,652.5627024140772,0,47622,22,BENIGN
1465789,52,82,9054.881029156802,532.3173125464933,17,5786,21,BENIGN
68248,8,28,35264.403113672925,584.7321608699525,17,43912,22,BENIGN
1825765,80,19,5092.410762670096,1108.4432399239531,17,19475,443,BENIGN
2745783,945,19,47759.60188263914,98.78624047806258,17,13051,80,DDoS
4056618,3,73,90644.71318940434,948.8755092519882,17,11124,8080,BENIGN
2670095,96,11,225.29826129237262,1023.6735079587955,17,9172,443,BENIGN
4997995,69,96,26663.86530424122,1207.0888283415825,6,43355,8080,Bot
6398086,84,24,79985.9101148085,1274.0442194582952,6,29745,22,BENIGN
1871028,14,24,986.0833821606518,254.82500433132992,6,24764,22,BENIGN
4155399,96,3,1017.3437046006705,224.6259264546433,0,44098,80,BENIGN
6249959,536,3,61081.85860943991,22.753103313562733,0,7532,3389,DDoS
2305513,70,8,78919.97567985844,1140.2364948627874,0,32969,22,BENIGN
3910297,58,14,77650.54174666706,423.0431167547301,0,12176,80,BENIGN
5558119,100,25,77957.8020749287,23.036855539722303,6,61538,22,DDoS
5414809,51,78,36100.63448176657,1162.9143573054212,17,30356,6667,Bot
271936,5,89,88272.41442744588,1155.9046001958725,17,19400,3389,BENIGN
3584802,77,91,1283.5601396736895,987.6538458483433,17,16336,21,BENIGN
22,1,0,31218.87367723004,136.60578998138018,0,37023,3389,PortScan
2299535,80,31,33718.76948353899,94.9529132080715,6,48943,443,BENIGN
8585477,1,75,16557.112581954116,594.8990588731326,17,46107,6667,Bot
74,1,0,33622.59729920992,59.497391189244055,0,19921,3389,PortScan
1271841,54,51,58588.4130052109,1358.1336111450335,0,17083,8080,BENIGN
3769415,11,31,52027.93126973825,49.814103836991826,0,19269,22,BENIGN
1046897,53,8,31942.735858453987,63.8270359701327,17,23353,22,BENIGN
